Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades,Município,Previstos,Avaliados,Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,Percentual de acertos
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",1,H 76,PACATUBA,974.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,AQUIRAZ,1336.0,1204.0,90,31,44,25,59,86.0
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,CAUCAIA,4362.0,3544.0,81,41,37,22,57,87.0
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,EUSEBIO,1141.0,1034.0,91,35,34,31,60,87.0
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,GUAIUBA,395.0,238.0,60,37,45,16,53,82.0
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,ITAITINGA,499.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,MARACANAU,3145.0,2821.0,90,48,34,18,53,84.0
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,MARANGUAPE,1253.0,1019.0,81,33,43,24,58,84.0
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77,PACATUBA,974.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,66.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,CAUCAIA,4444.0,3681.0,83,42,40,18,53,55.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,EUSEBIO,1195.0,1053.0,88,28,38,34,62,61.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,GUAIUBA,315.0,263.0,83,42,41,17,53,54.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,ITAITINGA,846.0,750.0,89,35,35,30,61,63.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,MARACANAU,3175.0,2639.0,83,38,39,23,55,56.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,70.0
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",2,H 69,PACATUBA,1024.0,950.0,93,36,40,24,56,60.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,65.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,CAUCAIA,4444.0,3681.0,83,42,40,18,53,55.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,EUSEBIO,1195.0,1053.0,88,28,38,34,62,65.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,GUAIUBA,315.0,263.0,83,42,41,17,53,54.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,ITAITINGA,846.0,750.0,89,35,35,30,61,61.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,MARACANAU,3175.0,2639.0,83,38,39,23,55,58.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,66.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,2,H 70,PACATUBA,1024.0,950.0,93,36,40,24,56,60.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,65.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,CAUCAIA,4444.0,3681.0,83,42,40,18,53,56.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,EUSEBIO,1195.0,1053.0,88,28,38,34,62,63.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,GUAIUBA,315.0,263.0,83,42,41,17,53,57.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,ITAITINGA,846.0,750.0,89,35,35,30,61,63.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,MARACANAU,3175.0,2639.0,83,38,39,23,55,57.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,66.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",2,H 71,PACATUBA,1024.0,950.0,93,36,40,24,56,57.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,68.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,CAUCAIA,4444.0,3681.0,83,42,40,18,53,57.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,EUSEBIO,1195.0,1053.0,88,28,38,34,62,66.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,GUAIUBA,315.0,263.0,83,42,41,17,53,56.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,ITAITINGA,846.0,750.0,89,35,35,30,61,64.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,MARACANAU,3175.0,2639.0,83,38,39,23,55,61.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,78.0
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,2,H 72,PACATUBA,1024.0,950.0,93,36,40,24,56,62.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,63.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,CAUCAIA,4444.0,3681.0,83,42,40,18,53,50.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,EUSEBIO,1195.0,1053.0,88,28,38,34,62,61.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,GUAIUBA,315.0,263.0,83,42,41,17,53,49.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,ITAITINGA,846.0,750.0,89,35,35,30,61,65.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,MARACANAU,3175.0,2639.0,83,38,39,23,55,55.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,66.0
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",2,H 73,PACATUBA,1024.0,950.0,93,36,40,24,56,55.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,67.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,CAUCAIA,4444.0,3681.0,83,42,40,18,53,57.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,EUSEBIO,1195.0,1053.0,88,28,38,34,62,76.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,GUAIUBA,315.0,263.0,83,42,41,17,53,56.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,ITAITINGA,846.0,750.0,89,35,35,30,61,65.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,MARACANAU,3175.0,2639.0,83,38,39,23,55,59.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,66.0
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,2,H 74,PACATUBA,1024.0,950.0,93,36,40,24,56,59.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,66.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,CAUCAIA,4444.0,3681.0,83,42,40,18,53,56.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,EUSEBIO,1195.0,1053.0,88,28,38,34,62,70.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,GUAIUBA,315.0,263.0,83,42,41,17,53,55.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,ITAITINGA,846.0,750.0,89,35,35,30,61,59.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,MARACANAU,3175.0,2639.0,83,38,39,23,55,57.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,58.0
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",2,H 75,PACATUBA,1024.0,950.0,93,36,40,24,56,58.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,59.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,CAUCAIA,4444.0,3681.0,83,42,40,18,53,50.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,EUSEBIO,1195.0,1053.0,88,28,38,34,62,50.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,GUAIUBA,315.0,263.0,83,42,41,17,53,
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,ITAITINGA,846.0,750.0,89,35,35,30,61,54.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,MARACANAU,3175.0,2639.0,83,38,39,23,55,33.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,47.0
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,2,H 76,PACATUBA,1024.0,950.0,93,36,40,24,56,
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,48.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,CAUCAIA,4444.0,3681.0,83,42,40,18,53,44.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,EUSEBIO,1195.0,1053.0,88,28,38,34,62,52.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,GUAIUBA,315.0,263.0,83,42,41,17,53,43.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,ITAITINGA,846.0,750.0,89,35,35,30,61,51.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,MARACANAU,3175.0,2639.0,83,38,39,23,55,47.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,52.0
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",2,H 77,PACATUBA,1024.0,950.0,93,36,40,24,56,46.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,72.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,CAUCAIA,4444.0,3681.0,83,42,40,18,53,61.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,EUSEBIO,1195.0,1053.0,88,28,38,34,62,69.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,GUAIUBA,315.0,263.0,83,42,41,17,53,60.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,ITAITINGA,846.0,750.0,89,35,35,30,61,67.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,MARACANAU,3175.0,2639.0,83,38,39,23,55,65.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,67.0
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",2,H 78,PACATUBA,1024.0,950.0,93,36,40,24,56,64.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,45.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,CAUCAIA,4444.0,3681.0,83,42,40,18,53,39.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,EUSEBIO,1195.0,1053.0,88,28,38,34,62,45.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,GUAIUBA,315.0,263.0,83,42,41,17,53,35.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,ITAITINGA,846.0,750.0,89,35,35,30,61,41.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,MARACANAU,3175.0,2639.0,83,38,39,23,55,36.0
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",2,H 79,PACATUBA,1024.0,950.0,93,36,40,24,56,40.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,57.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,CAUCAIA,4444.0,3681.0,83,42,40,18,53,54.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,EUSEBIO,1195.0,1053.0,88,28,38,34,62,58.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,GUAIUBA,315.0,263.0,83,42,41,17,53,56.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,ITAITINGA,846.0,750.0,89,35,35,30,61,61.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,MARACANAU,3175.0,2639.0,83,38,39,23,55,57.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,88.0
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",2,H 80,PACATUBA,1024.0,950.0,93,36,40,24,56,56.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,AQUIRAZ,1350.0,1175.0,87,28,35,36,62,72.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,CAUCAIA,4444.0,3681.0,83,42,40,18,53,64.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,EUSEBIO,1195.0,1053.0,88,28,38,34,62,100.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,GUAIUBA,315.0,263.0,83,42,41,17,53,
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,ITAITINGA,846.0,750.0,89,35,35,30,61,72.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,MARACANAU,3175.0,2639.0,83,38,39,23,55,50.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,MARANGUAPE,1237.0,1123.0,91,34,31,35,66,71.0
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",2,H 81,PACATUBA,1024.0,950.0,93,36,40,24,56,
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,AQUIRAZ,1358.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,CAUCAIA,4425.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,EUSEBIO,1131.0,1059.0,94,18,24,58,74,72.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,GUAIUBA,312.0,264.0,85,28,28,44,66,59.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,ITAITINGA,850.0,725.0,85,31,34,35,64,63.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,MARACANAU,3215.0,2641.0,82,36,32,31,60,54.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,MARANGUAPE,1237.0,1100.0,89,29,32,39,65,88.0
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,3,H 01,PACATUBA,1006.0,900.0,89,30,29,40,65,57.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,AQUIRAZ,1358.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,CAUCAIA,4425.0,0.0,0,0,0,0,0,
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,EUSEBIO,1131.0,1059.0,94,18,24,58,74,70.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,GUAIUBA,312.0,264.0,85,28,28,44,66,66.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,ITAITINGA,850.0,725.0,85,31,34,35,64,63.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,MARACANAU,3215.0,2641.0,82,36,32,31,60,58.0
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",3,H 02,MARANGUAPE,1237.0,1100.0,89,29,32,39,65,58.0
