ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
5º;Grandezas e medidas;"Medidas de compri- mento, área, massa, tempo, temperatura e capacidade: utilização de unidades convencionais e relações entre as
unidades de medida mais usuais";"Identificação dos múltiplos e submúltiplos do metro; Estabelecimento de equivalência entre as unidades de medida: km/m, m/dm, m/cm, m/ mm, dm/cm, cm/mm; Resolução e elaboração de problemas envolvendo unidades de medida de comprimento com transformação; Estabelecimen- to da equivalência entre kg/g e t/kg; Resolução e elaboração de problemas envolvendo unidades  de medida de massa com transformação; Estabe- lecimento da equivalência entre l e ml; Resolução e elaboração de problemas envolvendo unidades de medida de capacidade com transformação; Estabelecimento de relações entre o horário de início e de término e/ou intervalo de duração
de um evento ou acontecimento; Resolução e elaboração de problemas envolvendo unidades de medida de tempo; Identificação de grau Celsius como unidade de temperatura; Resolução e elaboração de problema envolvendo medida de temperatura; Identificação do metro quadrado,
o decímetro quadrado e o centímetro quadrado como unidades padronizadas de medida de superfície; Reconhecimento do quilômetro quadrado como unidade de medida de superfície;
Realização de medições com o metro quadrado e o decímetro quadrado; Reconhecimento da
superfície como objeto a ser medido e área como grandeza e medida de superfície; Utilização de símbolos das unidades de medida de superfície; Cálculo da área de quadrados e retângulos, representados em malhas quadriculadas ou não; Resolução e elaboração de problemas envolven- do cálculo de área de quadrados e retângulos, representados em malhas
quadriculadas ou não;";(EF05MA19) Resolver e elaborar proble- mas envolvendo medidas das grandezas comprimento, área, massa, tempo, tempe- ratura e capacidade, recorrendo a transfor- mações entre as unidades mais usuais em contextos socioculturais.;(EF05MA20);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
5º;Grandezas e medidas;Áreas e perímetros de figuras poligonais: algumas relações;"Diferenciação de área e perímetro; Estabeleci- mento da relação entre a variação das medidas dos lados de um polígono e a variação da área e do perímetro do mesmo; Resolução e elaboração de problemas envolvendo cálculo de perímetro de figuras bidimensionais, representadas em malhas quadriculadas ou não.";(EF05MA20) Concluir, por meio de inves- tigações, que figuras de perímetros iguais podem ter áreas diferentes e que, também, figuras que têm a mesma área podem ter perímetros diferentes.;(EF05MA17) (EF05MA18) (EF05MA19);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
5º;Grandezas e medidas;Noção de volume;"Identificação do metro cúbico e do decímetro cúbico como unidades padronizadas de medida de volume; Utilização dos símbolos das unidades de medida de volume; Estabelecimento da equi- valência entre 1m³ e 1000dm³; Estabelecimento da equivalência entre 1m³ e 1000 L e dm³ com 1L; Cálculo do volume de cubos e paralelepípedos;";(EF05MA21) Reconhecer volume como grandeza associada a sólidos geométricos e medir volumes por meio de empilha- mento de cubos, utilizando, preferencial- mente, objetos concretos.;(EF05MA16);;Utilizar processos e ferramentas matemáticas para modelar e resol- ver problemas cotidianos, sociais e de outras áreas de conhecimento, validando estratégias e resultados.
5º;Probabilidade e estatística;Espaço amostral: análise de chances de eventos aleatórios;"Identificação de todos os resultados possíveis  de um experimento; Determinação do espaço amostral de eventos aleatórios. Exemplificação  e quantificação de problemas de contagem. Comparação das frequências de acontecimentos cotidianos: esperado e ocorrido.";(EF05MA22) Apresentar todos os possíveis resultados de um experimento aleatório, estimando se esses resultados são igual- mente prováveis ou não.;(EF05MA09) (EF05MA23);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados).
Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
5º;Probabilidade e estatística;Cálculo de probabilidade de eventos equiprováveis;"Identificação da probabilidade de ocorrência de um evento aleatório como a razão entre o
número de resultados favoráveis pelo número de resultados possíveis, sem a utilização da repre- sentação racional para este resultado.";(EF05MA23) Determinar a probabilidade de ocorrência de um resultado em eventos aleatórios, quando todos os resultados possíveis têm a mesma chance de ocorrer (equiprováveis).;(EF05MA09) (EF05MA22);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
5º;Probabilidade e estatística;Leitura, coleta, classifica- ção interpretação e repre- sentação de dados em tabelas de dupla entrada, gráfico de colunas agru- padas, gráficos pictóricos e gráfico de linhas;"Leitura, interpretação e comparação de infor- mações e dados em tabelas simples e de dupla entrada; Leitura de informações e dados em gráfico de colunas ou barras; Interpretação de informações e dados, explícitos e implícitos,  em tabelas simples ou de dupla entrada e em
gráficos de colunas ou barras; Produção de textos a partir de informações apresentadas em tabelas ou gráficos; Resolução e elaboração de problemas com informações apresentadas em tabelas de dupla entrada ou em gráficos pictóricos, de barras, de colunas ou de linhas;";"(EF05MA24) Interpretar dados estatís- ticos apresentados em textos, tabelas e gráficos (colunas ou linhas), referentes a outras áreas do conhecimento ou a
outros contextos, como saúde e trânsito, e produzir textos com o objetivo de sinteti- zar conclusões.";(EF05MA25);(EF07CI09) (EF35EF08) (EF05GE08) (EF05GE09) (EF35EF14);"Desenvolver e/ou discutir projetos que abordem, sobretudo, questões de urgência social, com base em princípios éticos, democráticos, sustentáveis e solidários, valorizan- do a diversidade de opiniões de indivíduos e de grupos sociais, sem preconceitos de qualquer natureza. Desenvolver o raciocínio lógico,
o espírito de investigação e a capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
5º;Probabilidade e estatística;Leitura, coleta, classifica- ção interpretação e repre- sentação de dados em tabelas de dupla entrada, gráfico de colunas agru- padas, gráficos pictóricos e gráfico de linhas;"Conhecimento dos diferentes tipos de variá- veis categóricas e numéricas; Planejamento de pesquisa; Coleta e organização de dados;
Preenchimento de tabela simples ou de dupla entrada, com dados coletados; Organização de dados por meio de lista ou tabelas; Construção  de gráfico de colunas simples ou agrupadas em malha quadriculada; Utilização de softwares e/  ou recursos digitais para a construção de gráficos; Elaboração de relatório para comunicação de pesquisa realizada;";(EF05MA25) Realizar pesquisa envolvendo variáveis categóricas e numéricas, organi- zar dados coletados por meio de tabelas, gráficos de colunas, pictóricos e de linhas, com e sem uso de tecnologias digitais, e apresentar texto escrito sobre a finalidade da pesquisa e a síntese dos resultados.;(EF05MA24);(EF35LP20) (EF05LP23) (EF05LP24) (EF05GE08) (EF05GE09) (EF15AR26);"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles.
Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
Desenvolver o raciocínio lógico, o espírito de investigação e a capa- cidade de produzir argumentos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Números;Sistema de numeração decimal: características, leitura, escrita e com- paração de números naturais e de números racionais representados na forma decimal;"• Estabelecimento da relação de ordem entre números naturais e números racionais cuja representação decimal é finita;
• Representação da ordem estabelecida entre números naturais e números decimais cuja repre- sentação decimal é finita na reta numérica;";(EF06MA01) Comparar, ordenar, ler e escrever números naturais e números racionais positivos cuja representação decimal é finita, fazendo uso da reta numérica.;(EF06MA02) (EF06MA03) (EF06MA07) (EF06MA08) (EF06MA09) (EF06MA10);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Números;Sistema de numeração decimal: características, leitura, escrita e com- paração de números naturais e de números racionais representados na forma decimal;"• Comparação do sistema de numeração decimal a outros sistemas de numeração destacando suas propriedades.
• Determinação das características do sistema de numeração decimal.
• Composição e decomposição de números racionais na sua forma decimal finita;";"(EF06MA02) Reconhecer o sistema de nu- meração decimal, como o que prevaleceu no mundo ocidental, e destacar seme- lhanças e diferenças com outros sistemas, de modo a sistematizar suas principais características (base, valor posicional e função do zero), utilizando, inclusive, a composição e decomposição de
números naturais e números racionais em sua representação decimal.";(EF06MA07) (EF06MA08) (EF06MA09) (EF06MA10) (EF06MA01) (EF06MA03);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
6º;Números;Operações (adição, subtração, multiplicação, divisão e potenciação) com números naturais Divisão euclidiana;"• Realização dos cálculos envolvendo as quatro operações com números de qualquer ordem;
• Resolução de problemas de maneira fluente envolvendo as quatro operações, com números de qualquer ordem; • Compreensão dos signi- ficados da potenciação; • Leitura de potências;
• Realização dos cálculos com potenciação; • Reconhecimento das diferentes estratégias de resolução: estimativas, decomposição, composi- ção e arredondamento de números; • Descrição do processo de resolução dos problemas; • Elaboração de problemas envolvendo as opera- ções (adição, subtração, multiplicação, divisão e potenciação) com números naturais. • Resolução de problemas em diferentes contextos com uso da calculadora na realização de operações com números naturais.";"(EF06MA03) Resolver e elaborar proble- mas que envolvam cálculos (mentais ou escritos, exatos ou
aproximados) com números naturais, e por meio de estratégias variadas, com compreensão dos processos neles envolvi- dos com e sem uso de calculadora.";(EF06MA01) (EF06MA02);;"Utilizar processos e ferramentas matemáticas, inclusive tecnologias lar e resolver
problemas cotidianos, sociais e de outras áreas de conhecimento,
validando estratégias e resultados."
6º;Números;Fluxograma para deter- minar a paridade de um número natural Múltiplos e divisores de um Números primos e compostos;• Construção de algoritmo em linguagem natural representado em forma de um fluxograma indi- cando a resolução de um problema simples.;(EF06MA04) Construir algoritmo em linguagem natural e representá-lo por fluxograma que indique a resolução de  um problema simples (por exemplo, se um número natural qualquer é par).;(EF06MA05) (EF06MA06);(EF67EF02);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens algoritmos, como fluxogramas, e dados)."
6º;Números;Fluxograma para deter- minar a paridade de um número natural Múltiplos e divisores de um Números primos e compostos;"• Determinação dos múltiplos de um número natural; • Determinação dos divisores de um número natural; • Conceito de números naturais primos e compostos; • Estabelecimento de critérios de divisibilidade por 2, 3, 4, 5, 6, 8, 9, 10,
100 e 1000.";"(EF06MA05) Classificar números naturais em primos e compostos, estabelecer relações entre números, expressas pelos termos “é múltiplo de”, “é divisor de”,
“é fator de”, e estabelecer, por meio de investigações, critérios de divisibilidade por 2, 3, 4, 5,
6, 8, 9, 10, 100 e 1000.";(EF06MA04) (EF06MA06);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Números;Fluxograma para deter- minar a paridade de um número natural Múltiplos e divisores de um Números primos e compostos;"• Resolução de problemas que envolvam os conceitos de múltiplo e de divisor de um número natural; • Elaboração de problemas envolvendo as ideias de múltiplo e divisor de um número natural.";(EF06MA06) Resolver e elaborar proble- mas que envolvam as ideias de múltiplo e de divisor.;(EF06MA04) (EF06MA05);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Números;"Frações: significados (parte/todo, quociente), equivalência, compara- ção, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações";"• Identificação da fração como o resultado da divisão de dois números naturais; • Comparação de frações, relacionando-as; • Estabelecimento da relação de ordem entre frações utilizando os sinais < (menor que) e > (maior que);";(EF06MA07) Compreender, comparar e ordenar frações associadas às ideias de partes de inteiros e resultado de divisão, identificando frações equivalentes.;(EF06MA01) (EF06MA02) (EF06MA08) (EF06MA09) (EF06MA10);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Números;"Frações: significados (parte/todo, quociente), equivalência, compara- ção, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações";"• Reconhecimento das diferentes representações de um número racional: forma decimal e fracio- nária; • Comparação e estabelecimento da relação de ordem entre números racionais nas formas decimal e fracionária e suas representações na reta numérica.";(EF06MA08) Reconhecer que os números racionais positivos podem ser expressos nas formas fracionária e decimal, estabe- lecer relações entre essas representações, passando de uma representação para outra, e relacioná-los a pontos na reta numérica.;(EF06MA01) (EF06MA02) (EF06MA07) (EF06MA09) (EF06MA10);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Números;"Frações: significados (parte/todo, quociente), equivalência, compara- ção, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações";"• Resolução de problemas que envolvam o cálcu- lo de frações de números naturais cujo resultado seja também um número natural;";(EF06MA09) Resolver e elaborar proble- mas que envolvam o cálculo da fração de uma quantidade e cujo resultado seja um número natural, com e sem uso de calculadora.;(EF06MA01) (EF06MA02) (EF06MA07) (EF06MA08) (EF06MA10);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Números;"Frações: significados (parte/todo, quociente), equivalência, compara- ção, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações";"• Realização das operações de adição e de sub- tração de números racionais na forma fracionária com denominadores diferentes por equivalência ou pelo método de redução; • Resolução de problemas que envolvam o cálculo da adição
e da subtração de números racionais na forma fracionária.";(EF06MA10) Resolver e elaborar proble- mas que envolvam adição ou subtração com números racionais positivos na representação fracionária.;(EF06MA01) (EF06MA02) (EF06MA07) (EF06MA08) (EF06MA09);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Números;Operações (adição, subtração, multiplicação, divisão e potenciação) com números racionais;"• Realização das operações de adição e subtração com números racionais na forma decimal de diferentes ordens; • Realização das operações com números racionais na forma decimal: multiplicação de naturais por decimal; multiplica- ção de decimal por decimal; divisão de decimal por natural; divisão de natural por natural com quociente decimal e divisão de decimal por decimal; • Resolução de problemas com números racionais na forma decimal envolvendo as quatro operações; • Cálculo da potenciação de números racionais na forma decimal; • Resolução de pro- blemas que envolvam a potenciação de números racionais na forma decimal.";(EF06MA11) Resolver e elaborar proble- mas com números racionais positivos na representação decimal, envolvendo as quatro operações fundamentais e a poten- ciação, por meio de estratégias diversas, utilizando estimativas e arredondamentos para verificar a razoabilidade de respostas, com e sem uso de calculadora.;(EF06MA12) (EF06MA13);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Números;Aproximação de núme- ros para múltiplos de potências de 10;"• Compreensão da regularidade nas potências de 10 e seus múltiplos; • Fazer estimativas de quantidades e aproximar para potências de 10 e seus múltiplos.";(EF06MA12) Fazer estimativas de quanti- dades e aproximar números para múltiplos da potência de 10 mais próxima.;(EF06MA11) (EF06MA13);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Números;Cálculo de porcentagens por meio de estratégias diversas, sem fazer uso da “regra de três”;"• Estabelecimento da relação entre fração, número decimal e porcentagem;
• Cálculo de porcentagens por equivalência de frações ou fração de uma quantidade;
• Resolução de problemas com diferentes aborda- gens de porcentagem (descontos e acréscimos).";(EF06MA13) Resolver e elaborar proble- mas que envolvam porcentagens, com base na ideia de proporcionalidade, sem fazer uso da “regra de três”, utilizando estratégias pessoais, cálculo mental e calculadora, em contextos de educação financeira, entre outros.;(EF06MA11) (EF06MA12);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Álgebra;Propriedades da igual- dade;"• Aplicação dos conhecimentos sobre as ope- rações numéricas e suas propriedades para construir estratégias de cálculo algébrico; • Aplicação dos princípios aditivo e multiplicativo das igualdades; • Compreensão do conceito de equivalência, incógnita e equação; • Visualização do princípio da igualdade numa equação; • Resolução de problemas envolvendo as equações do 1º grau do tipo a + b=c, no conjunto dos números naturais, por meio de tentativa ou princípio da igualdade.";(EF06MA14) Reconhecer que a relação  de igualdade matemática não se altera ao adicionar, subtrair, multiplicar ou dividir os seus dois membros por um mesmo número e utilizar essa noção para deter- minar valores desconhecidos na resolução de problemas.;(EF06MA15);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Álgebra;Problemas que tratam da partição de um todo em duas partes desiguais, envolvendo razões entre as partes e entre uma das partes e o todo.;"• Compreensão da ideia de partilha de uma quantidade em duas partes desiguais envolvendo relações aditivas e multiplicativas; • Descrição do processo de resolução dos problemas resolvidos;
• Compreensão da ideia de razão entre as partes e entre as partes e o todo na partilha de uma quantidade em duas partes desiguais; • Resolu- ção de problemas envolvendo a ideia de partilha de uma quantidade em duas partes desiguais envolvendo relações aditivas e multiplicativas;
• Resolução de problemas envolvendo a ideia de razão de uma quantidade em duas partes
desiguais envolvendo relações aditivas e multipli- cativas; • Descrição do processo de resolução dos problemas resolvidos; • Conceituação de razão como a divisão entre dois números; • Concei- tuação de proporção e utilização do raciocínio proporcional; • Utilização da linguagem para descrever uma relação de proporção entre duas quantidades.";(EF06MA15) Resolver e elaborar pro- blemas que envolvam a partilha de uma quantidade em duas partes desiguais, envolvendo relações aditivas e multiplica- tivas, bem como a razão entre as partes e entre uma das partes e o todo.;(EF06MA14);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Geometria;Plano cartesiano: asso- ciação dos vértices de um polígono a pares ordenados;"• Estabelecimento da relação entre os vértices  de um polígono e os pontos do plano cartesiano no 1º quadrante; • Construção de figuras seme- lhantes: ampliação e redução de figuras planas em malhas quadriculadas; • Transformações
geométricas e proporcionalidade: homotéticas ou mudanças de escala.";(EF06MA16) Associar pares ordenados de números a pontos do plano cartesiano do 1º quadrante, em situações como a localização dos vértices de um polígono.;;;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
6º;Geometria;Prismas e pirâmides: planificações e relações entre seus elementos (vértices, faces e arestas);"• Identificação da relação entre os elementos (vértices, faces e arestas) dos prismas e das pirâmides e a figura da base;";(EF06MA17) Quantificar e estabelecer relações entre o número de vértices, faces e arestas de prismas e pirâmides, em função do seu polígono da base, para resolver problemas e desenvolver a percepção espacial.;(EF06MA18);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Geometria;Polígonos: classificações quanto ao número de vértices, às medidas de lados e ângulos e ao paralelismo e perpendi- cularismo dos lados;"• Análise dos elementos de um polígono: lados, vértices, ângulos internos, diagonais;
• Classificação dos polígonos quanto às suas características: lados, vértices, ângulos;";(EF06MA18) Reconhecer, nomear e comparar polígonos, considerando lados, vértices e ângulos, e classificá-los em regulares e não regulares, tanto em suas representações no plano como em faces de poliedros.;(EF06MA17) (EF06MA19) (EF06MA20);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Geometria;Polígonos: classificações quanto ao número de vértices, às medidas de lados e ângulos e ao paralelismo e perpendi- cularismo dos lados;"• Classificação de triângulos quanto a medida dos lados: equilátero, isósceles e escaleno;
• Classificação de triângulos quanto a medida dos ângulos internos: acutângulo, obtusângulo e retângulo;";(EF06MA19) Identificar características dos triângulos e classificá-los em relação às medidas dos lados e dos ângulos.;(EF06MA17) (EF06MA18) (EF06MA19);(EF69AR04);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Geometria;Polígonos: classificações quanto ao número de vértices, às medidas de lados e ângulos e ao paralelismo e perpendi- cularismo dos lados;"• Análise dos dois tipos de quadriláteros: pa- ralelogramos e trapézios, identificando suas características;";(EF06MA20) Identificar características dos quadriláteros, classificá-los em relação a lados e a ângulos e reconhecer a inclusão e a intersecção de classes entre eles.;(EF06MA17) (EF06MA18) (EF06MA19);(EF69AR04);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Geometria;Construção de figuras semelhantes: ampliação e redução de figuras planas em malhas quadriculadas;"• Avaliação das condições necessárias e suficien- tes para se ter uma figura semelhante; • Amplia- ção e redução de figuras e semelhança de figuras planas; • Utilização de softwares de geometria dinâmica em situações de ampliação e redução  de figuras planas, em malha quadriculada ou não.";(EF06MA21) Construir figuras planas semelhantes em situações de ampliação e de redução, com o uso de malhas quadri- culadas, plano cartesiano ou tecnologias digitais.;(EF07MA22) (EF07MA23);(EF06GE08) (EF06GE09) (EF69AR35);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Geometria;Construção de retas para- lelas e perpendiculares, fazendo uso de réguas, esquadros e softwares;"• Apresentação dos conceitos de paralelismo e perpendicularidade; • Compreensão das características principais de retas paralelas e
perpendiculares. • Estudo de paralelas e perpen- diculares (ao eixo) no plano cartesiano; • Análise das possíveis posições entre duas retas no plano: paralelas e concorrentes (oblíquas e perpendicu- lares); • Diferenciação entre retas paralelas e retas concorrentes; • Construção de retas paralelas e perpendiculares com uso de régua e compasso e/ou régua e esquadro; • Construção e análise
de retas paralelas e perpendiculares no software de geometria dinâmica, usando técnicas de construção com régua e compasso; • Construção de quadriláteros com uso de régua e compasso e/ ou régua e esquadro; • Construção e análise de quadriláteros no software de geometria dinâmica, usando técnicas de construção com régua e compasso.";"(EF06MA22) Utilizar instrumentos, como réguas e esquadros, ou softwares para representações de retas paralelas e
perpendiculares e construção de quadrilá- teros, entre outros.";(EF07MA21) (EF07MA23);(EF69AR04);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Geometria;Construção de retas para- lelas e perpendiculares, fazendo uso de réguas, esquadros e softwares;• Interpretação da movimentação em diversas representações, utilizando as orientações espa- ciais apropriadas e suas terminologias.;(EF06MA23) Construir algoritmo para resolver situações passo a passo (como na construção de dobraduras ou na indicação de deslocamento de um objeto no plano segundo pontos de referência e distâncias fornecidas etc.).;(EF07MA21) (EF07MA22);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens algoritmos, como fluxogramas, e dados)."
6º;Grandezas e medidas;"Problemas sobre medidas envolvendo grandezas como   v comprimento, massa, tempo, tempera- tura, área, capacidade
e volume";"• Resolução de problemas do cotidiano usando unidades de medida de comprimento, tempo, massa, temperatura, área do triângulo e do retângulo, capacidade e volume; • Descrição do processo de resolução dos problemas resolvidos;
• Elaboração de problemas envolvendo contextos oriundos de situações reais e/ou relacionadas às outras áreas do conhecimento.";(EF06MA24) Resolver e elaborar pro- blemas que envolvam as grandezas comprimento, massa, tempo, temperatura, área (triângulos e retângulos), capacidade e volume (sólidos formados por blocos retangulares), sem uso de fórmulas, inse- ridos, sempre que possível, em contextos oriundos de situações reais e/ou relaciona- das às outras áreas do conhecimento.;(EF06MA25) (EF06MA27) (EF06MA29);(EF06GE08) (EF67EF08);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Grandezas e medidas;Ângulos: noção, usos e medida;"• Identificação de ângulos nas figuras planas e nos objetos do cotidiano; • Associação dos mo- vimentos de giro a medidas de ângulos; • Reco- nhecimento de ângulos como um dos elementos dos polígonos; • Compreensão que a medida do ângulo é conservada quando há ampliação ou redução de figuras poligonais.";(EF06MA25) Reconhecer a abertura do ân- gulo como grandeza associada às figuras geométricas.;(EF06MA24) (EF06MA26) (EF06MA27);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
6º;Grandezas e medidas;Ângulos: noção, usos e medida;"• Resolução de problemas envolvendo noção de ângulo em diferentes contextos e em situações reais, como ângulo de visão;";(EF06MA26) Resolver problemas que envolvam a noção de ângulo em diferentes contextos e em situações reais, como ângulo de visão.;(EF06MA24) (EF06MA25) (EF06MA27);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
6º;Grandezas e medidas;Ângulos: noção, usos e medida;"• Identificação de giros de meia-volta, um quarto de volta, ângulo reto, maiores e menores que o reto (agudo e obtuso); • Classificação dos ângulos (raso, reto, agudo e obtuso); • Construção de ângulos por meio da medição de ângulo com
o uso do transferidor; • Construção de ângulos por meio da medição de ângulo com o uso de softwares de geometria dinâmica.";(EF06MA27) Determinar medidas da aber- tura de ângulos, por meio de transferidor e/ou tecnologias digitais.;(EF06MA24) (EF06MA25) (EF06MA26);(EF69AR04) (EF69AR35);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
