ANO;CAMPOS DE ATUAÇÃO;PRÁTICAS DE LINGUAGEM;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO DENTRO DO PRÓPRIO COMPONENTE;RELAÇÃO ENTRE COMPONENTES;COMPETÊNCIAS ESPECÍFICAS
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Leitura;"Estratégia de leitura:
identificação de teses e argumentos Apreciação e réplica";identificação e avaliação de teses/ opiniões/posicionamentos explícitos e argumentos em textos argumentativos (carta de leitor, comentário, artigo de opinião, resenha crítica etc.), manifes- tando concordância ou discordância.;(EF67LP05) Identificar e avaliar teses/opiniões/posicionamentos explícitos e argumentos em textos argumentativos (carta de leitor, comentário, artigo de opinião, resenha crítica etc.), manifestando concordância ou discordância.;;;Analisar informações, argumentos e opiniões manifestados em interações sociais e nos meios de comunicação, posicionando-se ética e criticamente em relação a conteúdos discriminatórios que ferem direitos humanos e ambientais.
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Leitura;Efeitos de sentido;Identificação dos efeitos de sentido provocados pela seleção lexical, topicalização de elementos e seleção e hierarquização de informações, uso de 3ª pessoa etc.;(EF67LP06) Identificar os efeitos  de sentido provocados pela seleção lexical, topicalização de elementos e seleção e hierarquização de infor- mações, uso de 3ª pessoa etc.;;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Leitura;Efeitos de sentido;"Identificação do uso de recursos persuasivos em textos argumentativos diversos (como a elaboração do título, as escolhas lexicais, as construções metafóricas, a explicitação ou a ocultação de fontes de informação)
e a percepção dos seus efeitos de sentido.";(EF67LP07) Identificar o uso de recursos persuasivos em textos argumentativos diversos (como a elaboração do título, as escolhas lexicais, as construções metafóricas, a explicitação ou a ocultação de fontes de informação) e perceber seus efeitos de sentido.;;;Analisar informações, argumentos e opiniões manifestados em interações sociais e nos meios de comunicação, posicionando-se ética e criticamente em relação a conteúdos discriminatórios que ferem direitos humanos e ambientais.
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Leitura;Efeitos de sentido Exploração da multissemiose;"Identificação dos efeitos de sentido devidos à escolha de imagens está- ticas, sequenciação ou sobreposição de imagens, definição de figura/ fundo, ângulo, profundidade e foco, cores/tonalidades, relação com
o escrito (relações de reiteração, complementação ou oposição) etc. em notícias, reportagens, fotorrepor- tagens, foto-denúncias, memes, gifs, anúncios publicitários e propagandas publicados em jornais, revistas, sites na internet etc.";"(EF67LP08) Identificar os efeitos  de sentido devidos à escolha de imagens estáticas, sequenciação ou
sobreposição de imagens, definição de figura/fundo, ângulo, profun- didade e foco, cores/tonalidades, relação com o escrito (relações
de reiteração, complementação ou oposição) etc. em notícias, reportagens, fotorreportagens, foto-denúncias, memes, gifs,
anúncios publicitários e propagan- das publicados em jornais, revistas, sites na internet etc.";;;"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Produção de textos;"Estratégias de produção:
planejamento de textos informativos";"Planejamento de notícia impressa, e para circulação em outras mídias
(rádio ou TV/vídeo), tendo em vista as condições de produção, do texto – ob- jetivo, leitores/espectadores, veículos  e mídia de circulação etc. –, a partir  da escolha do fato a ser noticiado
(de relevância para a turma, escola ou comunidade), do levantamento de dados e informações sobre o
fato – que pode envolver entrevistas com envolvidos ou com especialistas, consultas a fontes, análise de docu- mentos, cobertura de eventos etc.–, do registro dessas informações e da- dos, da escolha de fotos ou imagens a produzir ou a utilizar etc. e a previsão de uma estrutura hipertextual (no caso de publicação em sites ou blogs noticiosos).";"(EF67LP09) Planejar notícia im- pressa e para circulação em outras mídias (rádio ou TV/vídeo), tendo em vista as condições de produ- ção, do texto – objetivo, leitores/ espectadores, veículos e mídia
de circulação etc. –, a partir da escolha do fato a ser noticiado (de relevância para a turma, escola ou comunidade), do levantamento de dados e informações sobre o fato – que pode envolver entrevistas com envolvidos ou com especialistas, consultas a fontes, análise de documentos, cobertura de eventos etc.–, do registro dessas informa- ções e dados, da escolha de fotos ou imagens a produzir ou a utilizar etc. e a previsão de uma estrutura hipertextual (no caso de publicação em sites ou blogs noticiosos).";;(EF05GE12);"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Produção de textos;"Textualização, tendo em vista suas condições de produção, as características do gênero em questão, o
estabelecimento de coesão,
adequação à norma-padrão e  o uso adequado de ferramentas de edição";"Produção de noticia impressa tendo em vista características do gênero
— título ou manchete com verbo no tempo presente, linha fina (opcional), lide, progressão dada pela ordem decrescente de importância dos fatos, uso de 3ª pessoa, de palavras que indicam precisão —, e o estabeleci- mento adequado de coesão e produzir notícia para TV, rádio e internet, tendo em vista, além das características
do gênero, os recursos de mídias disponíveis e o manejo de recursos de captação e edição de áudio e imagem.";"(EF67LP10) Produzir notícia impressa tendo em vista carac- terísticas do gênero — título ou manchete com verbo no tempo presente, linha fina (opcional), lide, progressão dada pela ordem decrescente de importância dos fatos, uso de 3ª pessoa, de pala- vras que indicam precisão —, e  o estabelecimento adequado de
coesão e produzir notícia para TV, rádio e internet, tendo em vista, além das características do gênero, os recursos de mídias disponíveis e o manejo de recursos de captação e edição de áudio e imagem.";;(EF06MA33);"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Produção de textos;"Estratégias de produção: planejamento de textos
argumentativos e apreciativos";"Planejamento de resenhas, vlogs, vídeos e podcasts variados, textos e vídeos de apresentação e apreciação próprios das culturas juvenis (algumas possibilidades: fanzines, fanclipes,
e-zines, gameplay, detonado etc.), dentre outros, tendo em vista as condições de produção do texto
— objetivo, leitores/espectadores, veículos e mídia de circulação etc. —, a partir da escolha de uma produção ou evento cultural para analisar — livro, filme, série, game, canção, videoclipe, fanclipe, show, saraus, slams etc. — da busca de informação sobre a produção ou evento escolhi- do, da síntese de informações sobre
a obra/evento e do elenco/seleção de aspectos, elementos ou recursos que possam ser destacados positiva ou negativamente ou da roteirização do passo a passo do game para posterior gravação dos vídeos.";"(EF67LP11) Planejar resenhas, vlogs, vídeos e podcasts variados, e textos e vídeos de apresentação e apreciação próprios das culturas juvenis (algumas possibilidades: fanzines, fanclipes, e-zines, game- play, detonado etc.), dentre outros, tendo em vista as condições de produção do texto — objetivo, leitores/espectadores, veículos e mídia de circulação etc.
—, a partir da escolha de uma produção ou evento cultural para analisar — livro, filme, série, game, canção, videoclipe, fanclipe, show, saraus, slams etc. — da busca de informação sobre a produção ou evento escolhido, da síntese de informações sobre a obra/evento
e do elenco/seleção de aspectos, elementos ou recursos que pos- sam ser destacados positiva ou negativamente ou da roteirização do passo a passo do game para posterior gravação dos vídeos.";;(EF07GE01) (EF05GE12);"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Produção de textos;"Textualização de textos
argumentativos e apreciativos";Produção de resenhas críticas, vlogs, vídeos, podcasts variados e produções e gêneros próprios das culturas juve- nis (algumas possibilidades: fanzines, fanclipes, e-zines, gameplay, detonado etc.), que apresentem/descrevam e/ ou avaliem produções culturais (livro, filme, série, game, canção, disco, vi- deoclipe etc.) ou evento (show, sarau, slam etc.), tendo em vista o contexto de produção dado, as características do gênero, os recursos das mídias envolvidas e a textualização adequada dos textos e/ou produções.;"(EF67LP12) Produzir resenhas críticas, vlogs, vídeos, podcasts va- riados e produções e gêneros pró- prios das culturas juvenis (algumas possibilidades: fanzines, fanclipes, e-zines, gameplay, detonado etc.), que apresentem/descrevam e/ou avaliem produções culturais (livro, filme, série, game, canção, disco, videoclipe etc.) ou evento (show, sarau, slam etc.), tendo em vista
o contexto de produção dado, as características do gênero, os
recursos das mídias envolvidas e a textualização adequada dos textos e/ou produções.";;(EF09GE1);"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Produção de textos;Produção e edição de textos publicitários;"Produção, revisão e editoração de textos publicitários  levando em conta o contexto de produção dado,
explorando recursos multissemióticos, relacionando elementos verbais e visuais, utilizando adequadamente estratégias discursivas de persuasão e/ou convencimento e criando título ou slogan que façam o leitor motivar-
-se a interagir com o texto produzido e se sinta atraído pelo serviço, ideia ou produto em questão.";(EF67LP13) Produzir, revisar e editar textos publicitários, levando em conta o contexto de produção dado, explorando recursos multis- semióticos, relacionando elementos verbais e visuais, utilizando ade- quadamente estratégias discursivas de persuasão e/ou convencimento e criando título ou slogan que façam o leitor motivar-se a inte- ragir com o texto produzido e se sinta atraído pelo serviço, ideia ou produto em questão.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com autonomia e protagonismo na vida social.
6º, 7º;CAMPO JORNALÍSTICO/ MIDIÁTICO;Oralidade;"Planejamento e produção de
entrevistas orais";"Definição do contexto de produção da entrevista (objetivos, o que se preten- de conseguir, porque aquele entrevis- tado etc.), levantamento de informa- ções sobre o entrevistado e sobre o acontecimento ou tema em questão, preparação do roteiro de perguntar e realizar entrevista oral com envolvidos ou especialistas relacionados com
o fato noticiado ou com o tema em pauta, usando roteiro previamente elaborado e formulando outras per- guntas a partir das respostas dadas e, quando for o caso, selecionar partes, transcrever e proceder a uma edição escrita do texto, adequando-o a seu contexto de publicação, à construção composicional do gênero e garantindo a relevância das informações manti- das e a continuidade temática.";"(EF67LP14) Definir o contexto de produção da entrevista (objetivos, o que se pretende conseguir, porque aquele entrevistado etc.), levantar informações sobre o entrevistado
e sobre o acontecimento ou tema em questão, preparar o roteiro de perguntar e realizar entrevista oral com envolvidos ou especialistas relacionados com o fato noticiado ou com o tema em pauta, usando roteiro previamente elaborado
e formulando outras perguntas a partir das respostas dadas e,
quando for o caso, selecionar par- tes, transcrever e proceder a uma edição escrita do texto, adequan- do-o a seu contexto de publicação, à construção composicional do gênero e garantindo a relevância das informações mantidas e a continuidade temática.";;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com autonomia e protagonismo na vida social.
6º, 7º;CAMPO DE ATUAÇÃO NA VIDA PÚBLICA;Leitura;Estratégias e procedimentos de leitura em textos legais e normativos;"Identificação da proibição imposta ou do direito garantido, bem como das circunstâncias de sua aplicação, em artigos relativos a normas, regimentos escolares, regimentos e estatutos
da sociedade civil, regulamentações para o mercado publicitário, Código de Defesa do Consumidor, Código Na- cional de Trânsito, ECA, Constituição, dentre outros.";(EF67LP15) Identificar a proibição imposta ou o direito garantido, bem como as circunstâncias de sua aplicação, em artigos relativos a normas, regimentos escolares, regimentos e estatutos da socie- dade civil, regulamentações para o mercado publicitário, Código de Defesa do Consumidor, Código Nacional de Trânsito, ECA, Consti- tuição, dentre outros.;;;Compreender a língua como fenômeno cultural, histórico, social, variável, heterogêneo e sensível aos contextos de uso, reconhecen- do-a como meio de construção de identidades de seus usuários e da comunidade a que pertencem.
6º, 7º;CAMPO DE ATUAÇÃO NA VIDA PÚBLICA;Leitura;Contexto de produção, circulação e recepção de textos e práticas relacionadas à defesa de direitos e à participação social;Exploração e análise de espaços de reclamação de direitos e de envio de solicitações (tais como ouvidorias, SAC, canais ligados a órgãos públicos, plataformas do consumidor, platafor- mas de reclamação), bem como de textos pertencentes a gêneros que circulam nesses espaços, reclamação ou carta de reclamação, solicitação ou carta de solicitação, como forma de ampliar as possibilidades de produção desses textos em casos que remetam a reivindicações que envolvam a es- cola, a comunidade ou algum de seus membros como forma de se engajar na busca de solução de problemas pessoais, dos outros e coletivos.;"(EF67LP16) Explorar e analisar es- paços de reclamação de direitos e de envio de solicitações (tais como ouvidorias, SAC, canais ligados
a órgãos públicos, plataformas do consumidor, plataformas de reclamação), bem como de textos
pertencentes a gêneros que circu- lam nesses espaços, reclamação ou carta de reclamação, solicitação ou carta de solicitação, como forma de ampliar as possibilidades de produção desses textos em casos que remetam a reivindicações que envolvam a escola, a comunidade ou algum de seus membros como forma de se engajar na busca de solução de problemas pessoais, dos outros e coletivos.";;;Compreender a língua como fenômeno cultural, histórico, social, variável, heterogêneo e sensível aos contextos de uso, reconhecen- do-a como meio de construção de identidades de seus usuários e da comunidade a que pertencem.
6º, 7º;CAMPO DE ATUAÇÃO NA VIDA PÚBLICA;Leitura;"Relação entre contexto de produção e características composicionais e estilísticas dos
gêneros (carta de solicitação, carta de reclamação, petição on-line, carta aberta, abaixo-assinado, proposta etc.) Apreciação e réplica";"Análise, a partir do contexto de produção, da forma de organização das cartas de solicitação e de recla- mação (datação, forma de início, apresentação contextualizada do pedido ou da reclamação, em geral, acompanhada de explicações, argu- mentos e/ou relatos do problema, fórmula de finalização mais ou menos cordata, dependendo do tipo de
carta e subscrição) e de algumas das marcas linguísticas relacionadas à argumentação, explicação ou relato de fatos, como forma de possibilitar a escrita fundamentada de cartas como essas ou de postagens em canais próprios de reclamações e solicitações em situações que envolvam questões relativas à escola, à comunidade ou a algum dos seus membros.";"(EF67LP17) Analisar, a partir do contexto de produção, a forma de organização das cartas de solici- tação e de reclamação (datação, forma de início, apresentação contextualizada do pedido ou da reclamação, em geral, acompanha- da de explicações, argumentos e/ ou relatos do problema, fórmula de finalização mais ou menos cordata, dependendo do tipo de carta e subscrição) e algumas das marcas linguísticas relacionadas à argu- mentação, explicação ou relato de fatos, como forma de possibilitar
a escrita fundamentada de cartas como essas ou de postagens em canais próprios de reclamações
e solicitações em situações que envolvam questões relativas à escola, à comunidade ou a algum dos seus membros.";;;Compreender a língua como fenômeno cultural, histórico, social, variável, heterogêneo e sensível aos contextos de uso, reconhecen- do-a como meio de construção de identidades de seus usuários e da comunidade a que pertencem.
6º, 7º;CAMPO DE ATUAÇÃO NA VIDA PÚBLICA;Leitura;Estratégias, procedimentos de leitura em textos reivindicatórios ou propositivos;"Identificação do objeto da reclamação e/ou da solicitação e sua sustentação, explicação ou justificativa, de forma
a poder analisar a pertinência da solicitação ou justificação.";"(EF67LP18) Identificar o objeto da reclamação e/ou da solicitação e sua sustentação, explicação ou justificativa, de forma a poder
analisar a pertinência da solicitação ou justificação.";;;Compreender a língua como fenômeno cultural, histórico, social, variável, heterogêneo e sensível aos contextos de uso, reconhecen- do-a como meio de construção de identidades de seus usuários e da comunidade a que pertencem.
6º, 7º;CAMPO DE ATUAÇÃO NA VIDA PÚBLICA;Produção de textos;"Estratégia de produção: planejamento de textos
reivindicatórios ou propositivos";Realização do levantamento de ques- tões, de problemas que requeiram a denúncia de desrespeito a direitos, reivindicações, reclamações, solicita- ções que contemplem a comunidade escolar ou algum de seus membros e exame de normas e legislações.;(EF67LP19) Realizar levantamento de questões, problemas que re- queiram a denúncia de desrespeito a direitos, reivindicações, reclama- ções, solicitações que contemplem a comunidade escolar ou algum de seus membros e examinar normas e legislações.;;(EF09GE03);Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Leitura;Curadoria de informação;Realização de pesquisa, a partir de recortes e de questões definidos previamente, usando fontes indicadas e abertas.;(EF67LP20) Realizar pesquisa, a partir de recortes e questões definidos previamente, usando fontes indicadas e abertas.;;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Produção de textos;"Estratégias de escrita: textualização,
revisão e edição";Divulgação de resultados de pesqui- sas, por meio de apresentações orais, de painéis, artigos de divulgação científica, verbetes de enciclopédia, podcasts científicos, etc.;(EF67LP21) Divulgar resultados de pesquisas por meio de apre- sentações orais, painéis, artigos de divulgação científica, verbetes de enciclopédia, podcasts cientí- ficos etc.;;(EF06GE04);Empregar nas interações  a variedade e o  estilo de linguagem adequados à situação comunicativa, ao(s) interlocutor(es) e ao gênero do discurso/gênero textual.
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Produção de textos;"Estratégias de escrita: textualização,
revisão e edição";Produção de resumos, a partir das no- tas e/ou esquemas feitos, com o uso adequado de paráfrases e citações.;(EF67LP22) Produzir resumos, a partir das notas e/ou esquemas feitos, com o uso adequado de paráfrases e citações.;;(EF06GE04);"Empregar, nas interações sociais, a variedade e o estilo de linguagem adequados à situação
comunicativa, ao(s) interlocutor(es) e ao gênero do discurso/gênero textual."
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Oralidade;Conversação espontânea;Respeito aos turnos de fala, na participação em conversações e em discussões ou atividades coletivas, na sala de aula e na escola e formulação de perguntas coerentes e adequadas em momentos oportunos em situa- ções de aulas, apresentação oral, seminário etc.;(EF67LP23) Respeitar os turnos de fala, na participação em conversa- ções e em discussões ou atividades coletivas, na sala de aula e na escola e formular perguntas coe- rentes e adequadas em momentos oportunos em situações de aulas, apresentação oral, seminário etc.;;;"Empregar, nas interações sociais, a variedade e o estilo de linguagem adequados à situação
comunicativa, ao(s) interlocutor(es) e ao gênero do discurso/gênero textual."
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Oralidade;Procedimentos de apoio à compreensão Tomada de nota;Anotação de observações feitas du- rante as aulas, as apresentações orais, as entrevistas (ao vivo, áudio, TV, vídeo), identificando e hierarquizando as informações principais, tendo em vista apoiar o estudo e a produção de sínteses e reflexões pessoais ou outros objetivos em questão.;"(EF67LP24) Tomar nota de aulas, apresentações orais, entrevistas (ao vivo, áudio, TV, vídeo), identifican- do e hierarquizando as informações principais, tendo em vista apoiar
o estudo e a produção de sínteses e reflexões pessoais ou outros objetivos em questão.";;;Empregar nas interações a variedade e o estilo de linguagem adequados à situação comuni- cativa, ao(s) interlocutor(es) e ao gênero do discurso/gênero textual.
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Análise linguísti- ca/semiótica;Textualização Progressão temática;"Reconhecimento e uso de critérios de organização tópica  (do geral para o específico, do específico para o geral etc.), das marcas linguísticas dessa or- ganização (marcadores de ordenação e enumeração, de explicação, defini- ção e exemplificação, por exemplo)
e dos mecanismos de paráfrase, de maneira a organizar mais adequa- damente a coesão e a progressão temática de seus textos.";(EF67LP25) Reconhecer e utilizar os critérios de organização tópica (do geral para o específico, do específico para o geral etc.), as marcas linguísticas dessa organi- zação (marcadores de ordenação e enumeração, de explicação, defini- ção e exemplificação, por exemplo) e os mecanismos de paráfrase, de maneira a organizar mais adequa- damente a coesão e a progressão temática de seus textos.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com autonomia e protagonismo na vida social.
6º, 7º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Análise linguísti- ca/semiótica;Textualização;Reconhecimento da estrutura do hipertexto em textos de divulgação científica, procedendo à remissão de conceitos e de relações por meio de notas de rodapés ou boxes.;(EF67LP26) Reconhecer a estrutura de hipertexto em textos de divulga- ção científica e proceder à remissão a conceitos e relações por meio de notas de rodapés ou boxes.;;;"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
6º, 7º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura;Relação entre textos;Análise, entre os textos literários e entre estes e outras manifestações ar- tísticas (como cinema, teatro, música, artes visuais e midiáticas), referências explícitas ou implícitas a outros textos, quanto aos temas, personagens e recursos literários e semióticos;(EF67LP27) Analisar, entre os textos literários e entre estes e outras manifestações artísticas (como cinema, teatro, música, artes visuais e midiáticas), refe- rências explícitas ou implícitas a outros textos, quanto aos temas, personagens e recursos literários e semióticos;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
6º, 7º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura;Estratégias de leitura Apreciação e réplica;"Leitura, de forma autônoma, e compreensão — selecionando procedimentos e estratégias de Leitura autônoma levando em conta características dos gêneros e suportes
—, romances infanto-juvenis, contos populares, contos de terror, lendas brasileiras, indígenas e africanas, narrativas de aventuras, narrativas de enigma, mitos, crônicas, auto- biografias, histórias em quadrinhos,
mangás, poemas de forma livre e fixa (como sonetos e cordéis), vídeo-poe- mas, poemas visuais, dentre outros, expressando avaliação sobre o texto lido e estabelecendo preferências por gêneros, temas e autores.";(EF67LP28) Ler, de forma autônoma, e compreender — selecionando procedimentos e estratégias de leitura adequados a diferentes objetivos e levando em conta características dos gêneros e suportes —, romances infanto-ju- venis, contos populares, contos de terror, lendas brasileiras, indígenas e africanas, narrativas de aventu- ras, narrativas de enigma, mitos, crônicas, autobiografias, histórias em quadrinhos, mangás, poemas de forma livre e fixa (como sonetos e cordéis), vídeo-poemas, poemas visuais, dentre outros, expressando avaliação sobre o texto lido e estabelecendo preferências por gêneros, temas, autores.;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
6º, 7º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura;Reconstrução da textualidade Efeitos de sentidos provocados pelos usos de recursos linguísticos e multissemióticos;"Identificação, em texto dramático, de personagem, de ato, de cena, de fala e identificações cênicas e da organização do texto: enredo,
conflitos, ideias principais, pontos de vista, universos de referência.";(EF67LP29) Identificar, em texto dramático, personagem, ato, cena, fala e indicações cênicas e a orga- nização do texto: enredo, conflitos, ideias principais, pontos de vista, universos de referência.;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
6º, 7º;CAMPO ARTÍSTICO- LITERÁRIO;Produção de textos;Construção da textualidade Relação entre textos;Criação de narrativas ficcionais, tais como contos populares, contos de suspense, mistério, terror, humor, narrativas de enigma, crônicas, his- tórias em quadrinhos, dentre outros, que utilizem cenários e personagens realistas ou de fantasia, observando os elementos da estrutura narrativa próprios ao gênero pretendido, tais como enredo, personagens, tempo, espaço e narrador, utilizando tempos verbais adequados à narração de fatos passados, empregando conhe- cimentos sobre diferentes modos de se iniciar uma história e de inserir os discursos direto e indireto.;(EF67LP30) Criar narrativas ficcio- nais, tais como contos populares, contos de suspense, mistério, ter- ror, humor, narrativas de enigma, crônicas, histórias em quadrinhos, dentre outros, que utilizem cená- rios e personagens realistas ou de fantasia, observando os elementos da estrutura narrativa próprios ao gênero pretendido, tais como enre- do, personagens, tempo, espaço e narrador, utilizando tempos verbais adequados à narração de fatos passados, empregando conheci- mentos sobre diferentes modos de se iniciar uma história e de inserir os discursos direto e indireto.;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
6º, 7º;CAMPO ARTÍSTICO- LITERÁRIO;Produção de textos;Construção da textualidade Relação entre textos;"Criação de poemas compostos por versos livres e de forma fixa, utili- zando recursos visuais, semânticos e sonoros, tais como cadências, ritmos e rimas, e poemas visuais e vídeo-
-poemas, explorando as relações entre imagem e texto verbal, a distribuição da mancha gráfica (poema visual) e outros recursos visuais e sonoros.";(EF67LP31) Criar poemas compos- tos por versos livres e de forma fixa (como quadras e sonetos), utili- zando recursos visuais, semânticos e sonoros, tais como cadências, ritmos e rimas, e poemas visuais e vídeo-poemas, explorando as rela- ções entre imagem e texto verbal,  a distribuição da mancha gráfica (poema visual) e outros recursos visuais e sonoros.;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
6º, 7º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguísti- ca/semiótica;Fono-ortografia;Escrita de palavras com correção orto- gráfica, obedecendo as convenções da língua escrita;(EF67LP32) Escrever palavras com correção ortográfica, obedecendo as convenções da língua escrita.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares,) e de se envolver com maior autonomia e protagonismo na vida social.
6º, 7º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguísti- ca/semiótica;Elementos notacionais da escrita;Utilização da pontuação no texto.;(EF67LP33) Pontuar textos ade- quadamente.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares,) e de se envolver com maior autonomia e protagonismo na vida social.
6º, 7º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguísti- ca/ semiótica;Léxico/morfologia;Formação dos antônimos com acrésci- mos de prefixos que expressam noção de negação.;(EF67LP34) Formar antônimos com acréscimo de prefixos que expres- sam noção de negação.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares,) e de se envolver com maior autonomia e protagonismo na vida social.
6º, 7º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguísti- ca/ semiótica;Léxico/morfologia;Distinção entre palavras derivadas por acréscimos de afixos e palavras compostas;(EF67LP35) Distinguir palavras derivadas por acréscimo de afixos e palavras compostas.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares,) e de se envolver com maior autonomia e protagonismo na vida social.
